ID,session_type,type
,bilendi,screen out
197758818182155,bilendi,screen out
197758818182147,bilendi,success
197819577296907,bilendi,success
197819577296907,bilendi,success
197758977259636,bilendi,success
197819578001481,bilendi,success
197819574687750,bilendi,success
197819571270722,bilendi,screen out
197819571836017,bilendi,screen out
197758976247820,bilendi,screen out
197758978637851,bilendi,success
197758977393675,bilendi,screen out
197819576448065,bilendi,success
197758976658558,bilendi,success
197819571775598,bilendi,success
197819570981930,bilendi,success
197758976643194,bilendi,success
197758976874526,bilendi,success
197819583345788,bilendi,success
197758975788111,bilendi,success
197819573957695,bilendi,screen out
197819576273962,bilendi,success
197819579103292,bilendi,success
197819572534318,bilendi,success
197758977318011,bilendi,success
197758978655285,bilendi,success
197758978763881,bilendi,success
